="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="overspeed",="",="highspeedbrake",="",="harshacceleration",="",="harshdeceleration",=""
="main",="",="",="",="",="",="",="",=""
="brakes",="0.00619***",="(4.90)",="0.0142***",="(22.71)",="0.00186***",="(4.08)",="0.00291***",="(6.58)"
="range",="-1.532***",="(-4.21)",="-2.207***",="(-10.59)",="-0.382***",="(-3.38)",="-0.536***",="(-4.77)"
="speed",="0.0459***",="(9.07)",="0.0538***",="(17.32)",="-0.0292***",="(-21.84)",="-0.0261***",="(-19.46)"
="rpm",="0.000887*",="(2.20)",="0.000949***",="(3.53)",="0.0000501",="(0.46)",="-0.000112",="(-1.05)"
="acceleratorpedalposition",="0.0111",="(1.82)",="0.00711",="(1.89)",="-0.00174",="(-0.74)",="-0.00207",="(-0.90)"
="enginefuelrate",="0.0213*",="(2.13)",="0.00718",="(1.10)",="0.0122**",="(3.13)",="0.0124**",="(3.22)"
="date1",="0.414",="(1.75)",="0.00109",="(0.01)",="0.511***",="(8.60)",="0.433***",="(7.42)"
="date2",="0.611**",="(2.63)",="-0.141",="(-1.29)",="0.456***",="(7.34)",="0.380***",="(6.32)"
="date3",="0.832***",="(3.94)",="-0.185",="(-1.83)",="0.359***",="(5.95)",="0.370***",="(6.37)"
="date4",="0.335",="(1.38)",="-0.276*",="(-2.43)",="0.232***",="(3.56)",="0.144*",="(2.28)"
="date5",="0.538*",="(2.18)",="-0.117",="(-1.12)",="-0.635***",="(-7.72)",="-0.861***",="(-10.20)"
="date6",="0.487",="(1.41)",="0.0272",="(0.20)",="-3.384***",="(-8.90)",="-3.687***",="(-8.99)"
="_cons",="-10.13***",="(-25.15)",="-9.053***",="(-38.67)",="-2.004***",="(-21.71)",="-1.907***",="(-20.90)"
="N",="16416",="",="25920",="",="38016",="",="38448",=""
="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
